iterations,loss_c,loss_e,total_loss,error_c,error_u,error_v,error_p
47000,7.943437594803981e-06,7.975496373546775e-06,1.5918933058856055e-05,0.00077763083,0.00563577,0.03588764,2.022371
48000,7.067784281389322e-06,6.259213932935381e-06,1.3326998669072054e-05,0.00016487639,0.008055798,0.08988032,2.079166
49000,7.740371074760333e-06,1.1688478480209596e-05,1.942884955496993e-05,0.00034902242,0.0023871413,0.03225895,2.2780166
50000,7.781630301906262e-06,1.818094460759312e-05,2.596257400000468e-05,0.00025244668,0.003328594,0.7212542,1.9480861
51000,1.0388936971139628e-05,3.828895933111198e-05,4.867789539275691e-05,0.00071896386,0.0014791864,0.025759328,2.091085
52000,7.29433486412745e-06,2.4733410100452602e-05,3.2027746783569455e-05,0.0006322931,0.0056596454,0.06987447,2.2643998
53000,8.928130228014197e-06,8.197477654903196e-06,1.712560697342269e-05,0.0013492659,0.0064982343,0.101632334,2.1752615
54000,6.31742750556441e-06,6.209656021383125e-06,1.2527083526947536e-05,0.00020411544,0.003842787,0.11302002,1.982486
55000,7.687503966735676e-06,8.621931556263007e-06,1.6309435522998683e-05,0.0010644505,0.002676403,0.03500134,2.2818022
56000,9.27887322177412e-06,6.640296760451747e-06,1.5919169527478516e-05,0.0011702044,0.0052827005,0.08748622,2.2363892
57000,9.939761184796225e-06,1.2044573850289453e-05,2.1984335035085678e-05,0.00044087807,0.011626714,0.15323144,2.143905
58000,1.254851304111071e-05,4.7302146413130686e-05,5.9850659454241395e-05,0.0008643137,0.011187327,0.023590686,2.067166
59000,1.5262770830304362e-05,3.800833655986935e-05,5.327110557118431e-05,0.001204644,0.0023303137,0.6538577,2.1540627
60000,7.182450190157397e-06,1.2681628504651599e-05,1.9864079149556346e-05,0.001730618,0.032121558,0.008844316,2.4204342
61000,6.1328296396823134e-06,6.952448529773392e-06,1.3085278624203056e-05,0.000651679,0.004622973,0.060453188,2.2974868
62000,7.952098712848965e-06,6.915659469086677e-06,1.4867758181935642e-05,0.0008375132,0.003082937,0.028543498,2.274898
63000,5.823437732033199e-06,1.2441982107702643e-05,1.8265420294483192e-05,2.6747475e-06,0.0066958494,0.04117465,2.3319306
64000,7.17386456017266e-06,2.4587163352407515e-05,3.1761028367327526e-05,0.00062561093,0.026291601,0.007403073,2.4073172
65000,7.508453563787043e-06,9.921564014803153e-06,1.7430018488084897e-05,0.0010519983,0.002214963,0.071049035,1.9988284
66000,1.0858047971851192e-05,0.00010026707604993135,0.00011112512584077194,5.4099535e-05,0.002649852,0.025847642,2.1009498
67000,7.121335329429712e-06,4.0129867556970567e-05,4.725120379589498e-05,0.00088132045,0.029129412,0.06484041,2.40968
68000,7.599351192766335e-06,1.0400275641586632e-05,1.7999627743847668e-05,0.00064819475,0.004402524,0.045800496,2.3043888
69000,6.181196113175247e-06,5.5639857237110846e-06,1.1745181836886331e-05,0.0001457231,0.0052913274,0.025782032,2.4787872
70000,1.9402988982619718e-05,2.1620311599690467e-05,4.1023300582310185e-05,0.0033798555,0.0057971072,0.10633196,1.9820485
71000,5.899149982724339e-06,8.60500404087361e-06,1.4504154023597948e-05,0.0003333625,0.0011357681,0.015803512,2.2864642
72000,6.587296411453281e-06,0.00014938422827981412,0.00015597153105773032,0.0007498995,0.004058429,0.10695726,2.11812
73000,6.360257430060301e-06,1.023989352688659e-05,1.6600151866441593e-05,0.0005836529,0.0050365315,0.045450307,2.3681982
74000,8.022780093597248e-06,7.086925506882835e-06,1.5109705600480083e-05,0.0005828074,0.00028638824,0.13899802,1.9834702
75000,7.789876690367237e-06,1.2991740732104518e-05,2.0781617422471754e-05,0.0006668511,0.005758787,0.04693116,2.3681579
76000,7.776743586873636e-06,1.25013129945728e-05,2.0278057490941137e-05,0.00041467333,0.0013756724,0.13226624,1.9979272
77000,7.785698471707292e-06,8.350674761459231e-06,1.6136373233166523e-05,0.001590774,0.006904827,0.06698533,2.2079859
78000,6.235416094568791e-06,6.774504072382115e-06,1.3009919712203555e-05,0.0007623045,0.011848223,0.051459618,2.4606807
79000,9.062090612133034e-06,7.219635335786734e-06,1.628172685741447e-05,0.0008176666,0.0009427447,0.07211813,2.0860295
80000,5.470103587867925e-06,7.037844170554308e-06,1.2507947758422233e-05,0.0003606464,0.0020041151,0.027202908,2.2683532
81000,4.7635753617214505e-06,9.401548595633358e-06,1.4165123502607457e-05,4.1464788e-05,0.005554227,0.16462228,2.1918478
82000,8.885464012564626e-06,1.0515259418752976e-05,1.94007225218229e-05,0.0011977536,0.001457522,0.029897392,2.2728775
83000,5.951561888650758e-06,4.40047051597503e-06,1.0352032404625788e-05,0.0005277824,0.0037846118,0.026017772,2.3846064
84000,9.446222975384444e-06,8.76719150255667e-06,1.8213413568446413e-05,0.0007082235,9.0995156e-05,0.028802752,2.2758954
85000,7.985400770849083e-06,6.6713605519908015e-06,1.4656761777587235e-05,0.0011590079,0.00396582,0.001353602,2.052004
86000,8.951807103585452e-06,1.4732780982740223e-05,2.3684588086325675e-05,0.0013274549,0.010219077,0.03310214,2.3809607
87000,5.633362889057025e-06,2.7674650482367724e-06,8.400827937293798e-06,0.00058628316,0.032306302,0.010205692,2.5708315
88000,6.2218678067438304e-06,6.87876672600396e-06,1.310063453274779e-05,0.0004740435,0.029740795,0.033898823,2.5537868
89000,6.792102794861421e-06,2.2999684006208554e-05,2.9791786801069975e-05,0.0011294594,0.007061043,0.14220703,2.0791397
90000,5.116111879033269e-06,4.531065314949956e-06,9.647177648730576e-06,0.00018043301,0.0095334435,0.44749373,2.0347521
91000,4.764423920278205e-06,5.413940925791394e-06,1.0178364391322248e-05,5.4091477e-05,0.0056713964,0.47072217,2.19189
92000,7.2415255090163555e-06,1.1961439668084495e-05,1.92029656318482e-05,0.0005058555,0.009940276,0.08427319,2.31267
93000,6.7064029281027615e-06,4.881343102169922e-06,1.1587746485020034e-05,0.0014842856,0.008140499,0.037197582,2.3868048
94000,5.125618827150902e-06,4.879879270447418e-06,1.000549855234567e-05,0.0005586924,0.010597057,0.009600475,2.0873303
95000,6.194095931277843e-06,8.807047379377764e-06,1.5001143765402958e-05,0.0003781392,0.00092488044,0.037033103,2.3219664
96000,5.223343578109052e-06,5.710342520615086e-06,1.0933686098724138e-05,9.920487e-05,0.0070274533,0.06578192,2.2590852
97000,6.997784112172667e-06,6.981225396884838e-06,1.3979009963804856e-05,0.001013518,0.012533547,0.07888186,2.093236
98000,7.1478170866612345e-06,1.3142875104676932e-05,2.0290692191338167e-05,0.0007525856,0.026736338,0.005282432,2.482672
99000,5.72213821214973e-06,8.51026015880052e-06,1.42323988256976e-05,0.00036433723,0.004713141,0.038783655,2.2405524
100000,5.667518507834757e-06,5.390216756495647e-06,1.1057734809583053e-05,0.00039465734,0.00949786,0.07920271,2.2645407
101000,5.5183131735248026e-06,6.274067800404737e-06,1.179238097392954e-05,0.00025223356,0.01198684,0.09887834,2.2771945
102000,6.331075383059215e-06,1.31954911921639e-05,1.9526567484717816e-05,0.001529625,0.007664497,0.03530418,2.44929
103000,5.537745437322883e-06,6.9617890403606e-06,1.2499534932430834e-05,0.0002179396,0.007758532,0.048516955,2.3454006
104000,5.6873618632380385e-06,1.0388770533609204e-05,1.607613194209989e-05,0.00096597883,0.008293069,0.03181235,2.4486341
105000,5.18505794389057e-06,4.234437255945522e-06,9.419494745088741e-06,0.00052418845,0.0039205137,0.13956434,2.123178
106000,6.661473889835179e-06,5.755415259045549e-06,1.2416889148880728e-05,0.0010225243,0.0067609358,0.052624546,2.1255982
107000,5.119485649629496e-06,6.6126585807069205e-06,1.1732144230336417e-05,0.000118046926,0.010925933,0.05457435,2.4424284
108000,4.938457095704507e-06,5.611735105048865e-06,1.0550192200753372e-05,0.0003675643,0.0052843667,0.017315092,2.583227
109000,5.211862116993871e-06,8.01149053586414e-06,1.3223352652858011e-05,3.5054367e-05,0.0051716813,0.07989415,2.1679883
110000,6.5069943957496434e-06,3.906664460373577e-06,1.041365885612322e-05,0.0005502579,0.0026021202,0.09992801,2.314872
111000,7.742094567220192e-06,1.1925105354748666e-05,1.966720083146356e-05,0.000554058,0.020033684,0.0006232147,2.4289804
112000,4.6287723307614215e-06,5.023141511628637e-06,9.65191429713741e-06,5.016299e-05,0.003247275,0.072392896,2.3788176
113000,5.107066044729436e-06,6.11313407716807e-06,1.1220199667150155e-05,0.00044128418,1.3713365e-05,0.037654296,2.4196084
114000,4.887506293016486e-06,9.697982022771612e-06,1.4585488315788098e-05,9.156082e-05,0.003621958,0.049907327,2.4770756
115000,4.752234872285044e-06,3.949912752432283e-06,8.702147169969976e-06,0.0005257062,0.0015540726,0.028579574,2.5005188
116000,5.183690063859103e-06,5.305874765326735e-06,1.0489564374438487e-05,0.00032015008,0.0038586452,0.3859199,2.2649634
117000,5.854716619069222e-06,1.3225514521764126e-05,1.9080231140833348e-05,2.7076409e-05,0.0035949335,0.77636856,2.103736
118000,9.62131434789626e-06,1.0888120414165314e-05,2.0509434762061574e-05,0.00032821886,0.0020293798,0.025984036,2.37974
119000,4.642944986699149e-06,2.4831783775880467e-06,7.126123364287196e-06,0.00011552776,0.000647546,0.09946793,2.099272
120000,5.381530627346365e-06,3.2290849958371837e-06,8.610615623183548e-06,0.000592974,0.008396111,0.04813979,2.4049785
121000,5.232482635619817e-06,7.632953384018037e-06,1.2865435564890504e-05,0.0001432162,0.02955873,0.011233521,2.7565188
122000,5.648347723763436e-06,7.676880159124266e-06,1.3325227882887702e-05,0.000619599,0.02673716,0.004970915,2.6863072
123000,4.931613148073666e-06,2.5261774680984672e-06,7.457790616172133e-06,0.0004375662,0.02431259,0.03447773,2.6719162
124000,5.331191914592637e-06,5.4368492783396505e-06,1.0768040738184936e-05,0.00027613097,0.0040917345,0.0195738,2.5438032
125000,5.4072220336820465e-06,5.255042196949944e-05,5.7957644457928836e-05,0.0009011758,0.0043583377,0.036240704,2.5715075
126000,8.476103175780736e-06,7.274702511494979e-06,1.5750805687275715e-05,0.00030440555,0.028752282,0.016905988,2.4654236
127000,5.134093044034671e-06,3.620489451350295e-06,8.75458226801129e-06,0.0009200456,0.008657701,0.037185386,2.5052774
128000,6.159817985462723e-06,1.6973928723018616e-05,2.313374716322869e-05,0.0007391772,0.025120793,0.005903215,2.6837876
