iterations,loss_c,loss_e,total_loss,error_c,error_u,error_v,error_p
1000,0.005141494795680046,0.00017010649025905877,0.0053116013295948505,0.8945486,2.3072426,1.2103359,1.3182311
2000,0.003072085091844201,0.00037135789170861244,0.0034434429835528135,0.53273064,1.0182468,1.200144,1.3244759
3000,0.0005839705117978156,0.0005247791996225715,0.001108749769628048,0.26272416,0.9962936,1.2963352,1.2672206
4000,0.0004329921503085643,0.000526058953255415,0.0009590510744601488,0.20275377,0.99717784,1.0412879,1.3284111
5000,0.00026819860795512795,0.0003107572556473315,0.0005789558636024594,0.15028752,0.9441841,0.6570825,1.3046263
6000,0.00018696661572903395,0.0002857570652849972,0.00047272368101403117,0.14466001,0.7507751,0.7305165,1.2066289
7000,0.0003236503980588168,0.0002389346482232213,0.0005625850753858685,0.16176818,0.5842166,0.41357124,1.2414666
8000,7.456967432517558e-05,6.796427624067292e-05,0.00014253394328989089,0.079568274,0.5875652,0.45342916,1.2585202
9000,8.762627840042114e-05,5.204000626690686e-05,0.000139666284667328,0.12967567,0.582231,0.50025314,1.2137681
10000,8.414316835114732e-05,5.9960351791232824e-05,0.00014410351286642253,0.09342557,0.48845738,0.30202553,1.2648809
11000,4.897474354947917e-05,4.350897506810725e-05,9.248372225556523e-05,0.09067127,0.5114866,0.44912818,1.2438371
12000,5.1435046771075577e-05,4.2643332562875e-05,9.407837933395058e-05,0.07841767,0.46486694,0.31325567,1.3859297
13000,3.2464275136590004e-05,3.373091749381274e-05,6.619519263040274e-05,0.065389864,0.45447373,0.2969238,1.4132134
14000,2.9819595511071384e-05,0.0001993635669350624,0.0002291831624461338,0.07452021,0.4507723,0.41330025,1.2618067
15000,3.2666383049217984e-05,2.817481436068192e-05,6.0841197409899905e-05,0.059980463,0.44824302,0.31422296,1.4045705
16000,3.350638144183904e-05,2.9590755730168894e-05,6.309713353402913e-05,0.09077768,0.41996932,0.40918097,1.3154513
17000,2.2482212443719618e-05,2.7505200705491006e-05,4.998741496820003e-05,0.07184554,0.41681007,0.3151976,1.3013376
18000,2.8567301342263818e-05,9.591702837496996e-05,0.00012448432971723378,0.05533541,0.32912296,0.22586894,1.3939084
19000,2.2794160031480715e-05,2.936026794486679e-05,5.2154427976347506e-05,0.06356986,0.3481449,0.28672186,1.4496661
20000,1.9946493921452202e-05,3.136433952022344e-05,5.131083162268624e-05,0.048600607,0.3054372,0.21113102,1.5138354
21000,2.309797673660796e-05,0.0001877414179034531,0.00021083939645905048,0.063855976,0.662685,0.5263441,1.3954468
22000,1.8709193682298064e-05,2.134563328581862e-05,4.0054826968116686e-05,0.05080958,0.47800806,0.28979453,1.5688109
23000,1.4915343854227103e-05,2.452019543852657e-05,3.943553747376427e-05,0.046465598,0.26861024,0.23605384,1.4569607
24000,1.6977724953903817e-05,1.5687630366301164e-05,3.266535350121558e-05,0.04533187,0.2788254,0.18672773,1.4930251
25000,1.6781183148850687e-05,8.510658517479897e-05,0.00010188776650466025,0.046346113,0.28308654,0.21765308,1.4991165
26000,1.7054930140147917e-05,4.062590960529633e-05,5.768083792645484e-05,0.046510663,0.295261,0.21654747,1.6548133
27000,1.4031523278390523e-05,2.3408567358274013e-05,3.744009154615924e-05,0.0367762,0.580535,0.34536958,1.5436448
28000,1.6385203707613982e-05,3.987925447290763e-05,5.626445636153221e-05,0.045068745,0.25668746,0.18228644,1.5827287
